square_id,order,aic,fit_seconds
5161,"(1,0,0)+Fourier",89445.90463379976,1.15
5161,"(2,0,0)+Fourier",88457.34163862532,1.26
5161,"(1,0,1)+Fourier",88054.30021935035,1.39
5161,"(2,1,1)+Fourier",88020.77691332504,1.22
5059,"(1,0,0)+Fourier",87815.81692119525,1.57
5059,"(2,0,0)+Fourier",86651.77241591869,1.58
5059,"(1,0,1)+Fourier",86046.05365641825,1.56
5059,"(2,1,1)+Fourier",86000.71086789326,1.38
5259,"(1,0,0)+Fourier",83710.21173435205,1.44
5259,"(2,0,0)+Fourier",83093.45627883548,1.38
5259,"(1,0,1)+Fourier",83071.41335682242,1.0
5259,"(2,1,1)+Fourier",82997.3883233644,2.11
