rank,square_id,total_internet_traffic
1,5161,12740060.318359375
2,5059,11170854.4296875
3,5259,10485779.53515625
4,5061,9584334.40234375
5,5258,8707440.21484375
6,5159,8703872.87109375
7,6064,8675342.59765625
8,4855,8491044.40234375
9,4856,8230212.1484375
10,5262,8163357.06640625
11,5857,8145514.04296875
12,6058,7939202.82421875
13,4956,7857682.91796875
14,4459,7750012.076171875
15,5256,7632094.03515625
16,5162,7451156.328125
17,4857,7239224.59765625
18,4755,7209967.1875
19,5567,7110181.1640625
20,5758,7050783.9375
21,6169,7029757.24609375
22,5263,6940202.498046875
23,5163,6922887.7587890625
24,4961,6892405.625
25,5957,6885430.765625
26,4955,6881968.037109375
27,6065,6708543.265625
28,5261,6537499.470703125
29,5255,6508169.625
30,6165,6384390.46875
31,5156,6353382.103515625
32,6260,6336046.1796875
33,4457,6320777.5
34,5965,6187575.11328125
35,4761,6148952.533203125
36,4754,6101784.91796875
37,4654,6069286.16796875
38,5361,6033530.189453125
39,5967,5985376.49609375
40,4959,5940149.4296875
41,5959,5919666.912109375
42,4854,5840634.06640625
43,4957,5838197.287109375
44,5158,5783072.5830078125
45,5854,5716917.68359375
46,5954,5701441.25
47,4655,5686285.5
48,4456,5679993.20703125
49,6067,5649656.8203125
50,5467,5626396.734375
51,4861,5602532.498046875
52,6164,5599228.03515625
53,5964,5503390.390625
54,5955,5455829.1787109375
55,4762,5405702.0546875
56,4653,5395328.75
57,5359,5389762.5078125
58,4462,5377248.44140625
59,5367,5338227.94921875
60,5160,5322451.9736328125
61,5458,5316080.1416015625
62,6066,5315234.5390625
63,5856,5314696.580078125
64,4758,5304066.65234375
65,5155,5291925.962890625
66,5360,5285635.2265625
67,6068,5267147.28515625
68,4559,5264009.5166015625
69,5963,5234036.205078125
70,6063,5229338.0234375
71,4958,5226173.166015625
72,4968,5205263.3046875
73,4756,5202675.419921875
74,4759,5192894.50390625
75,5068,5186524.796875
76,4460,5142688.4189453125
77,5056,5116064.060546875
78,5968,5113582.9375
79,5062,5099398.681640625
80,5157,5073034.1328125
81,5461,5064295.72265625
82,5349,5049016.970703125
83,4954,5030347.271484375
84,5063,5000138.439453125
85,6059,4986293.9443359375
86,4962,4983414.642578125
87,4760,4963348.939453125
88,5260,4957698.5390625
89,4948,4956749.5
90,6268,4944865.87890625
91,4757,4894187.8984375
92,5060,4885013.189453125
93,4648,4857463.2734375
94,4960,4808627.4375
95,5958,4779052.09765625
96,5568,4776080.859375
