model,square_id,phase,seconds,hardware,device
SARIMA,5161,train_grid_search_total_s,5.02,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
SARIMA,5059,train_grid_search_total_s,6.090000000000001,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
SARIMA,5259,train_grid_search_total_s,5.93,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
SARIMA,5161,walkforward_inference_total_s,39.36,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
SARIMA,5059,walkforward_inference_total_s,36.76,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
SARIMA,5259,walkforward_inference_total_s,38.67,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
LSTM,5161,train_total_s,66.76,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
LSTM,5161,walkforward_inference_total_s,0.09,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
LSTM,5059,train_total_s,68.36,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
LSTM,5059,walkforward_inference_total_s,0.088,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
LSTM,5259,train_total_s,78.36,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
LSTM,5259,walkforward_inference_total_s,0.164,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
TCN,5161,train_total_s,255.92,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
TCN,5161,walkforward_inference_total_s,0.239,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
TCN,5059,train_total_s,248.35,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
TCN,5059,walkforward_inference_total_s,0.253,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
TCN,5259,train_total_s,294.04,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
TCN,5259,walkforward_inference_total_s,0.272,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",CPU only (no GPU detected)
